title,importance,deadline
火災保険加入,10,2025-03-10 23:59
病院に行く,9,2025-02-25 16:00
脱毛,5,
成績証明書・卒業証明書発行,8,2025-03-10 23:59
家電の準備,7,2025-03-10 23:59
マイナンバーカード入手,9,2025-03-05 23:59
マイナ保険証作成,8,2025-03-05 23:59
マイナンバーカード届出書記入,7,2025-03-10 23:59
前泊費申請書提出,6,2025-03-10 23:59
誓約保証書サイン,8,2025-03-10 23:59
住民票記載事項証明書発行,7,2025-03-31 23:59
外国為替・貿易法順守誓約書,6,2025-03-10 23:59
荷物をまとめる,8,2025-03-09 23:59
電気・ガス・水道・ネット契約,9,2025-03-24 23:59
転出届提出,8,2025-03-23 23:59
転入届提出,8,2025-03-31 23:59
みずほ銀行の住所変更,7,2025-03-31 23:59
変わる努力をする,10,
約束を忘れない,9,
自分を安売りしない,9,
大事な話をちゃんと聞く,9,
特に重要なリストや優先度の高いリストは毎朝確認する,8,
母から離れる,8,
などちゃんと過ごす,7,
民度の悪いゲームや通話等を避ける,6,
部屋を綺麗にする,8,
目を合わせる,7,
ちゃんと食べる,6,
